PS D:\al_random\MAGA> & d:/al_random/MAGA/tf_env/Scripts/python.exe d:/al_random/MAGA/pytorch_AFM/AFM.py
epoch/epoches: 0/100, train loss: 19.497, test auc: 0.497
epoch/epoches: 1/100, train loss: 16.018, test auc: 0.506
epoch/epoches: 2/100, train loss: 14.345, test auc: 0.514
epoch/epoches: 3/100, train loss: 13.134, test auc: 0.522
epoch/epoches: 4/100, train loss: 12.462, test auc: 0.528
epoch/epoches: 5/100, train loss: 11.878, test auc: 0.534
epoch/epoches: 6/100, train loss: 11.293, test auc: 0.539
epoch/epoches: 7/100, train loss: 10.814, test auc: 0.544
epoch/epoches: 8/100, train loss: 10.373, test auc: 0.548
epoch/epoches: 9/100, train loss: 9.942, test auc: 0.553
epoch/epoches: 10/100, train loss: 9.590, test auc: 0.556
epoch/epoches: 11/100, train loss: 9.221, test auc: 0.560
epoch/epoches: 12/100, train loss: 8.967, test auc: 0.563
epoch/epoches: 13/100, train loss: 8.580, test auc: 0.566
epoch/epoches: 14/100, train loss: 8.348, test auc: 0.568
epoch/epoches: 15/100, train loss: 8.042, test auc: 0.571
epoch/epoches: 16/100, train loss: 7.831, test auc: 0.573
epoch/epoches: 17/100, train loss: 7.539, test auc: 0.575
epoch/epoches: 18/100, train loss: 7.301, test auc: 0.576
epoch/epoches: 19/100, train loss: 7.137, test auc: 0.578
epoch/epoches: 20/100, train loss: 6.890, test auc: 0.579
epoch/epoches: 21/100, train loss: 6.671, test auc: 0.580
epoch/epoches: 22/100, train loss: 6.478, test auc: 0.581
epoch/epoches: 23/100, train loss: 6.228, test auc: 0.582
epoch/epoches: 24/100, train loss: 6.078, test auc: 0.583
epoch/epoches: 25/100, train loss: 5.902, test auc: 0.584
epoch/epoches: 26/100, train loss: 5.742, test auc: 0.585
epoch/epoches: 27/100, train loss: 5.570, test auc: 0.585
epoch/epoches: 28/100, train loss: 5.424, test auc: 0.586
epoch/epoches: 29/100, train loss: 5.312, test auc: 0.587
epoch/epoches: 30/100, train loss: 5.165, test auc: 0.587
epoch/epoches: 31/100, train loss: 5.004, test auc: 0.587
epoch/epoches: 32/100, train loss: 4.913, test auc: 0.588
epoch/epoches: 33/100, train loss: 4.808, test auc: 0.588
epoch/epoches: 34/100, train loss: 4.737, test auc: 0.588
epoch/epoches: 35/100, train loss: 4.605, test auc: 0.589
epoch/epoches: 36/100, train loss: 4.486, test auc: 0.589
epoch/epoches: 37/100, train loss: 4.406, test auc: 0.589
epoch/epoches: 38/100, train loss: 4.317, test auc: 0.589
epoch/epoches: 39/100, train loss: 4.219, test auc: 0.590
epoch/epoches: 40/100, train loss: 4.185, test auc: 0.590
epoch/epoches: 41/100, train loss: 4.088, test auc: 0.590
epoch/epoches: 42/100, train loss: 3.983, test auc: 0.590
epoch/epoches: 43/100, train loss: 3.941, test auc: 0.590
epoch/epoches: 44/100, train loss: 3.852, test auc: 0.590
epoch/epoches: 45/100, train loss: 3.762, test auc: 0.590
epoch/epoches: 46/100, train loss: 3.708, test auc: 0.590
epoch/epoches: 47/100, train loss: 3.647, test auc: 0.590
epoch/epoches: 48/100, train loss: 3.603, test auc: 0.590
epoch/epoches: 49/100, train loss: 3.541, test auc: 0.590
epoch/epoches: 50/100, train loss: 3.492, test auc: 0.590
epoch/epoches: 51/100, train loss: 3.409, test auc: 0.590
epoch/epoches: 52/100, train loss: 3.340, test auc: 0.591
epoch/epoches: 53/100, train loss: 3.297, test auc: 0.590
epoch/epoches: 54/100, train loss: 3.257, test auc: 0.590
epoch/epoches: 55/100, train loss: 3.212, test auc: 0.590
epoch/epoches: 56/100, train loss: 3.158, test auc: 0.590
epoch/epoches: 57/100, train loss: 3.140, test auc: 0.591
epoch/epoches: 58/100, train loss: 3.122, test auc: 0.591
epoch/epoches: 59/100, train loss: 3.064, test auc: 0.591
epoch/epoches: 60/100, train loss: 3.031, test auc: 0.591
epoch/epoches: 61/100, train loss: 2.975, test auc: 0.591
epoch/epoches: 62/100, train loss: 2.965, test auc: 0.591
epoch/epoches: 63/100, train loss: 2.942, test auc: 0.591
epoch/epoches: 64/100, train loss: 2.858, test auc: 0.590
epoch/epoches: 65/100, train loss: 2.840, test auc: 0.590
epoch/epoches: 66/100, train loss: 2.820, test auc: 0.590
epoch/epoches: 67/100, train loss: 2.771, test auc: 0.590
epoch/epoches: 68/100, train loss: 2.780, test auc: 0.590
epoch/epoches: 69/100, train loss: 2.741, test auc: 0.590
epoch/epoches: 70/100, train loss: 2.685, test auc: 0.590
epoch/epoches: 71/100, train loss: 2.679, test auc: 0.590
epoch/epoches: 72/100, train loss: 2.631, test auc: 0.590
epoch/epoches: 73/100, train loss: 2.617, test auc: 0.589
epoch/epoches: 74/100, train loss: 2.592, test auc: 0.589
epoch/epoches: 75/100, train loss: 2.550, test auc: 0.589
epoch/epoches: 76/100, train loss: 2.520, test auc: 0.589
epoch/epoches: 77/100, train loss: 2.512, test auc: 0.589
epoch/epoches: 78/100, train loss: 2.480, test auc: 0.589
epoch/epoches: 79/100, train loss: 2.480, test auc: 0.589
epoch/epoches: 80/100, train loss: 2.448, test auc: 0.589
epoch/epoches: 81/100, train loss: 2.432, test auc: 0.589
epoch/epoches: 82/100, train loss: 2.401, test auc: 0.589
epoch/epoches: 83/100, train loss: 2.409, test auc: 0.589
epoch/epoches: 84/100, train loss: 2.379, test auc: 0.589
epoch/epoches: 85/100, train loss: 2.355, test auc: 0.589
epoch/epoches: 86/100, train loss: 2.358, test auc: 0.589
epoch/epoches: 87/100, train loss: 2.356, test auc: 0.589
epoch/epoches: 88/100, train loss: 2.332, test auc: 0.588
epoch/epoches: 90/100, train loss: 2.311, test auc: 0.588
epoch/epoches: 91/100, train loss: 2.304, test auc: 0.588
epoch/epoches: 92/100, train loss: 2.268, test auc: 0.588
epoch/epoches: 93/100, train loss: 2.261, test auc: 0.588
epoch/epoches: 94/100, train loss: 2.237, test auc: 0.588
epoch/epoches: 95/100, train loss: 2.211, test auc: 0.588
epoch/epoches: 96/100, train loss: 2.222, test auc: 0.588
epoch/epoches: 97/100, train loss: 2.193, test auc: 0.588
epoch/epoches: 98/100, train loss: 2.169, test auc: 0.588
epoch/epoches: 99/100, train loss: 2.169, test auc: 0.587
