(base) /root/miniconda3/envs/torch_env/bin/python /root/yesy/MAGA/pytorch/MHAFM.py drop-0.1
[8, 4]
epoch/epoches: 0/100, train loss: 0.679, test auc: 0.528
epoch/epoches: 1/100, train loss: 0.565, test auc: 0.563
epoch/epoches: 2/100, train loss: 0.545, test auc: 0.589
epoch/epoches: 3/100, train loss: 0.540, test auc: 0.610
epoch/epoches: 4/100, train loss: 0.535, test auc: 0.626
epoch/epoches: 5/100, train loss: 0.530, test auc: 0.640
epoch/epoches: 6/100, train loss: 0.525, test auc: 0.652
epoch/epoches: 7/100, train loss: 0.517, test auc: 0.664
epoch/epoches: 8/100, train loss: 0.509, test auc: 0.674
epoch/epoches: 9/100, train loss: 0.501, test auc: 0.683
epoch/epoches: 10/100, train loss: 0.494, test auc: 0.690
epoch/epoches: 11/100, train loss: 0.484, test auc: 0.696
epoch/epoches: 12/100, train loss: 0.474, test auc: 0.701
epoch/epoches: 13/100, train loss: 0.467, test auc: 0.704
epoch/epoches: 14/100, train loss: 0.455, test auc: 0.706
epoch/epoches: 15/100, train loss: 0.445, test auc: 0.708
epoch/epoches: 16/100, train loss: 0.432, test auc: 0.709
epoch/epoches: 17/100, train loss: 0.420, test auc: 0.708
epoch/epoches: 18/100, train loss: 0.405, test auc: 0.706
epoch/epoches: 19/100, train loss: 0.390, test auc: 0.704
epoch/epoches: 20/100, train loss: 0.375, test auc: 0.702
epoch/epoches: 21/100, train loss: 0.359, test auc: 0.700
epoch/epoches: 22/100, train loss: 0.346, test auc: 0.697
epoch/epoches: 23/100, train loss: 0.335, test auc: 0.694
epoch/epoches: 24/100, train loss: 0.322, test auc: 0.692
epoch/epoches: 25/100, train loss: 0.310, test auc: 0.690
epoch/epoches: 26/100, train loss: 0.300, test auc: 0.687
epoch/epoches: 27/100, train loss: 0.289, test auc: 0.686
epoch/epoches: 28/100, train loss: 0.279, test auc: 0.684
epoch/epoches: 29/100, train loss: 0.273, test auc: 0.683
epoch/epoches: 30/100, train loss: 0.264, test auc: 0.681
epoch/epoches: 31/100, train loss: 0.257, test auc: 0.679
epoch/epoches: 32/100, train loss: 0.251, test auc: 0.678
epoch/epoches: 33/100, train loss: 0.245, test auc: 0.676
epoch/epoches: 34/100, train loss: 0.238, test auc: 0.675
epoch/epoches: 35/100, train loss: 0.233, test auc: 0.674
epoch/epoches: 36/100, train loss: 0.228, test auc: 0.672
epoch/epoches: 37/100, train loss: 0.223, test auc: 0.671
epoch/epoches: 38/100, train loss: 0.217, test auc: 0.670
epoch/epoches: 39/100, train loss: 0.212, test auc: 0.669
epoch/epoches: 40/100, train loss: 0.209, test auc: 0.668
epoch/epoches: 41/100, train loss: 0.205, test auc: 0.668
epoch/epoches: 42/100, train loss: 0.201, test auc: 0.666
epoch/epoches: 43/100, train loss: 0.197, test auc: 0.665
epoch/epoches: 44/100, train loss: 0.194, test auc: 0.664
epoch/epoches: 45/100, train loss: 0.191, test auc: 0.663
epoch/epoches: 46/100, train loss: 0.187, test auc: 0.663
epoch/epoches: 47/100, train loss: 0.183, test auc: 0.662
epoch/epoches: 48/100, train loss: 0.182, test auc: 0.660
epoch/epoches: 49/100, train loss: 0.180, test auc: 0.660
epoch/epoches: 50/100, train loss: 0.174, test auc: 0.660
epoch/epoches: 51/100, train loss: 0.173, test auc: 0.659
epoch/epoches: 52/100, train loss: 0.170, test auc: 0.657
epoch/epoches: 53/100, train loss: 0.168, test auc: 0.658
epoch/epoches: 54/100, train loss: 0.166, test auc: 0.656
epoch/epoches: 55/100, train loss: 0.163, test auc: 0.656
epoch/epoches: 56/100, train loss: 0.160, test auc: 0.655
epoch/epoches: 57/100, train loss: 0.159, test auc: 0.654
epoch/epoches: 58/100, train loss: 0.156, test auc: 0.655
epoch/epoches: 59/100, train loss: 0.153, test auc: 0.654
epoch/epoches: 60/100, train loss: 0.152, test auc: 0.654
epoch/epoches: 61/100, train loss: 0.149, test auc: 0.653
epoch/epoches: 62/100, train loss: 0.147, test auc: 0.652
epoch/epoches: 63/100, train loss: 0.145, test auc: 0.652
epoch/epoches: 64/100, train loss: 0.145, test auc: 0.651
epoch/epoches: 65/100, train loss: 0.143, test auc: 0.651
epoch/epoches: 66/100, train loss: 0.140, test auc: 0.651
epoch/epoches: 67/100, train loss: 0.139, test auc: 0.651
epoch/epoches: 68/100, train loss: 0.135, test auc: 0.650
epoch/epoches: 69/100, train loss: 0.136, test auc: 0.651
epoch/epoches: 70/100, train loss: 0.135, test auc: 0.650
epoch/epoches: 71/100, train loss: 0.134, test auc: 0.650
epoch/epoches: 72/100, train loss: 0.132, test auc: 0.649
epoch/epoches: 73/100, train loss: 0.129, test auc: 0.648
epoch/epoches: 74/100, train loss: 0.129, test auc: 0.649
epoch/epoches: 75/100, train loss: 0.128, test auc: 0.648
epoch/epoches: 76/100, train loss: 0.128, test auc: 0.648
epoch/epoches: 77/100, train loss: 0.124, test auc: 0.647
epoch/epoches: 78/100, train loss: 0.123, test auc: 0.647
epoch/epoches: 79/100, train loss: 0.122, test auc: 0.647
epoch/epoches: 80/100, train loss: 0.121, test auc: 0.647
epoch/epoches: 81/100, train loss: 0.120, test auc: 0.646
epoch/epoches: 82/100, train loss: 0.119, test auc: 0.647
epoch/epoches: 83/100, train loss: 0.118, test auc: 0.646
epoch/epoches: 84/100, train loss: 0.118, test auc: 0.646
epoch/epoches: 85/100, train loss: 0.115, test auc: 0.646
epoch/epoches: 86/100, train loss: 0.116, test auc: 0.644
epoch/epoches: 87/100, train loss: 0.114, test auc: 0.646
epoch/epoches: 88/100, train loss: 0.114, test auc: 0.644
epoch/epoches: 89/100, train loss: 0.112, test auc: 0.645
epoch/epoches: 90/100, train loss: 0.111, test auc: 0.645
epoch/epoches: 91/100, train loss: 0.111, test auc: 0.645
epoch/epoches: 92/100, train loss: 0.111, test auc: 0.644
epoch/epoches: 93/100, train loss: 0.108, test auc: 0.643
epoch/epoches: 94/100, train loss: 0.109, test auc: 0.643
epoch/epoches: 95/100, train loss: 0.107, test auc: 0.644
epoch/epoches: 96/100, train loss: 0.107, test auc: 0.644
epoch/epoches: 97/100, train loss: 0.105, test auc: 0.644
epoch/epoches: 98/100, train loss: 0.106, test auc: 0.643
epoch/epoches: 99/100, train loss: 0.104, test auc: 0.643

(base) /root/miniconda3/envs/torch_env/bin/python /root/yesy/MAGA/pytorch/MHAFM.py drop-0.9
[8, 4]
epoch/epoches: 0/100, train loss: 0.712, test auc: 0.522
epoch/epoches: 1/100, train loss: 0.699, test auc: 0.535
epoch/epoches: 2/100, train loss: 0.693, test auc: 0.547
epoch/epoches: 3/100, train loss: 0.686, test auc: 0.560
epoch/epoches: 4/100, train loss: 0.683, test auc: 0.572
epoch/epoches: 5/100, train loss: 0.682, test auc: 0.584
epoch/epoches: 6/100, train loss: 0.679, test auc: 0.595
epoch/epoches: 7/100, train loss: 0.678, test auc: 0.604
epoch/epoches: 8/100, train loss: 0.678, test auc: 0.613
epoch/epoches: 9/100, train loss: 0.677, test auc: 0.621
epoch/epoches: 10/100, train loss: 0.674, test auc: 0.628
epoch/epoches: 11/100, train loss: 0.675, test auc: 0.633
epoch/epoches: 12/100, train loss: 0.675, test auc: 0.639
epoch/epoches: 13/100, train loss: 0.672, test auc: 0.644
epoch/epoches: 14/100, train loss: 0.674, test auc: 0.648
epoch/epoches: 15/100, train loss: 0.674, test auc: 0.653
epoch/epoches: 16/100, train loss: 0.673, test auc: 0.657
epoch/epoches: 17/100, train loss: 0.673, test auc: 0.661
epoch/epoches: 18/100, train loss: 0.673, test auc: 0.664
epoch/epoches: 19/100, train loss: 0.672, test auc: 0.668
epoch/epoches: 20/100, train loss: 0.672, test auc: 0.670
epoch/epoches: 21/100, train loss: 0.672, test auc: 0.673
epoch/epoches: 22/100, train loss: 0.671, test auc: 0.675
epoch/epoches: 23/100, train loss: 0.672, test auc: 0.677
epoch/epoches: 24/100, train loss: 0.671, test auc: 0.679
epoch/epoches: 25/100, train loss: 0.671, test auc: 0.681
epoch/epoches: 26/100, train loss: 0.672, test auc: 0.683
epoch/epoches: 27/100, train loss: 0.670, test auc: 0.685
epoch/epoches: 28/100, train loss: 0.670, test auc: 0.687
epoch/epoches: 29/100, train loss: 0.669, test auc: 0.688
epoch/epoches: 30/100, train loss: 0.670, test auc: 0.690
epoch/epoches: 31/100, train loss: 0.669, test auc: 0.691
epoch/epoches: 32/100, train loss: 0.669, test auc: 0.692
epoch/epoches: 33/100, train loss: 0.669, test auc: 0.693
epoch/epoches: 34/100, train loss: 0.668, test auc: 0.695
epoch/epoches: 35/100, train loss: 0.668, test auc: 0.696
epoch/epoches: 36/100, train loss: 0.668, test auc: 0.697
epoch/epoches: 37/100, train loss: 0.667, test auc: 0.697
epoch/epoches: 38/100, train loss: 0.667, test auc: 0.698
epoch/epoches: 39/100, train loss: 0.667, test auc: 0.699
epoch/epoches: 40/100, train loss: 0.667, test auc: 0.700
epoch/epoches: 41/100, train loss: 0.668, test auc: 0.700
epoch/epoches: 42/100, train loss: 0.668, test auc: 0.701
epoch/epoches: 43/100, train loss: 0.666, test auc: 0.702
epoch/epoches: 44/100, train loss: 0.666, test auc: 0.702
epoch/epoches: 45/100, train loss: 0.666, test auc: 0.702
epoch/epoches: 46/100, train loss: 0.665, test auc: 0.703
epoch/epoches: 47/100, train loss: 0.666, test auc: 0.703
epoch/epoches: 48/100, train loss: 0.665, test auc: 0.703
epoch/epoches: 49/100, train loss: 0.665, test auc: 0.703
epoch/epoches: 50/100, train loss: 0.664, test auc: 0.703
epoch/epoches: 51/100, train loss: 0.665, test auc: 0.702
epoch/epoches: 52/100, train loss: 0.664, test auc: 0.703
epoch/epoches: 53/100, train loss: 0.664, test auc: 0.703
epoch/epoches: 54/100, train loss: 0.663, test auc: 0.704
epoch/epoches: 55/100, train loss: 0.662, test auc: 0.704
epoch/epoches: 56/100, train loss: 0.662, test auc: 0.704
epoch/epoches: 57/100, train loss: 0.663, test auc: 0.704
epoch/epoches: 58/100, train loss: 0.663, test auc: 0.703
epoch/epoches: 59/100, train loss: 0.661, test auc: 0.704
epoch/epoches: 60/100, train loss: 0.662, test auc: 0.704
epoch/epoches: 61/100, train loss: 0.661, test auc: 0.703
epoch/epoches: 62/100, train loss: 0.661, test auc: 0.702
epoch/epoches: 63/100, train loss: 0.661, test auc: 0.703
epoch/epoches: 64/100, train loss: 0.661, test auc: 0.703
epoch/epoches: 65/100, train loss: 0.660, test auc: 0.703
epoch/epoches: 66/100, train loss: 0.659, test auc: 0.703
epoch/epoches: 67/100, train loss: 0.658, test auc: 0.704
epoch/epoches: 68/100, train loss: 0.660, test auc: 0.703
epoch/epoches: 69/100, train loss: 0.660, test auc: 0.703
epoch/epoches: 70/100, train loss: 0.660, test auc: 0.702
epoch/epoches: 71/100, train loss: 0.658, test auc: 0.701
epoch/epoches: 72/100, train loss: 0.659, test auc: 0.702
epoch/epoches: 73/100, train loss: 0.659, test auc: 0.701
epoch/epoches: 74/100, train loss: 0.658, test auc: 0.701
epoch/epoches: 75/100, train loss: 0.658, test auc: 0.701
epoch/epoches: 76/100, train loss: 0.658, test auc: 0.700
epoch/epoches: 77/100, train loss: 0.657, test auc: 0.700
epoch/epoches: 78/100, train loss: 0.657, test auc: 0.700
epoch/epoches: 79/100, train loss: 0.657, test auc: 0.699
epoch/epoches: 80/100, train loss: 0.656, test auc: 0.699
epoch/epoches: 81/100, train loss: 0.657, test auc: 0.700
epoch/epoches: 82/100, train loss: 0.656, test auc: 0.699
epoch/epoches: 83/100, train loss: 0.657, test auc: 0.698
epoch/epoches: 84/100, train loss: 0.657, test auc: 0.698
epoch/epoches: 85/100, train loss: 0.656, test auc: 0.697
epoch/epoches: 86/100, train loss: 0.655, test auc: 0.697
epoch/epoches: 87/100, train loss: 0.654, test auc: 0.697
epoch/epoches: 88/100, train loss: 0.655, test auc: 0.696
epoch/epoches: 89/100, train loss: 0.653, test auc: 0.695
epoch/epoches: 90/100, train loss: 0.654, test auc: 0.695
epoch/epoches: 91/100, train loss: 0.654, test auc: 0.693
epoch/epoches: 92/100, train loss: 0.654, test auc: 0.694
epoch/epoches: 93/100, train loss: 0.653, test auc: 0.693
epoch/epoches: 94/100, train loss: 0.653, test auc: 0.694
epoch/epoches: 95/100, train loss: 0.653, test auc: 0.694
epoch/epoches: 96/100, train loss: 0.651, test auc: 0.693
epoch/epoches: 97/100, train loss: 0.653, test auc: 0.693
epoch/epoches: 98/100, train loss: 0.652, test auc: 0.692
epoch/epoches: 99/100, train loss: 0.653, test auc: 0.691

(base) /root/miniconda3/envs/torch_env/bin/python /root/yesy/MAGA/pytorch/MHAFM.py mhafm 0.1drop 100w
[8, 4]
epoch/epoches: 0/100, train loss: 0.575, test auc: 0.671
epoch/epoches: 1/100, train loss: 0.536, test auc: 0.709
epoch/epoches: 2/100, train loss: 0.518, test auc: 0.722
epoch/epoches: 3/100, train loss: 0.505, test auc: 0.728
epoch/epoches: 4/100, train loss: 0.492, test auc: 0.731
epoch/epoches: 5/100, train loss: 0.479, test auc: 0.730
epoch/epoches: 6/100, train loss: 0.465, test auc: 0.727
epoch/epoches: 7/100, train loss: 0.451, test auc: 0.723
epoch/epoches: 8/100, train loss: 0.436, test auc: 0.717
